,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
165,Judy Collins,5yzE49FicYiSxN61oaxkNn,rock,track,Little Brown Dog,2000,5sWXC8bUB2xCcASrnaBFEW
166,Wayne Faust,4wkrqeYsWz4nXJRJCskll7,rock,track,Winnebago,2000,69ztpyG8mTLEmkO4Jj6iAZ
167,The Oak Ridge Boys,3XnO697XIus1M0cMuxZjos,rock,track,In The Shelter Of His Arms,2000,1pcpfUph67hCIzBs1SrDrx
168,Ghettobillies,6YiIckTSbF2HfeTCXg9PU9,rock,track,Plumber's Lament,2000,7jSbfaKhUr6pkmuukfmATR
169,Ra'ash,2HeqWL556ReJugW82iLLQT,rock,track,הנה אתה,2000,1U1niXl9mygdpeM0YFjhS6
170,Okay Temiz,6yajM6C42NTolTtmV0q2cq,rock,track,Moving Wagon,2000,1iqSlOdrWgcFmYonOCmiYr
171,Zvuki Mu,7cZCHoW0UAnBmecxXMQycM,rock,track,Крым,2000,5N0E3Zbh29IAfLVtG72N6O
172,Raimon,53gngrNkCMQim2Fg4qbHZm,rock,track,Si un Dia Vols - En Directe,2000,7m2D9a3JqRQwBCntjSSaB0
173,Veljo Tormis,0Idpvxe8nO6ZOciUbB5eSa,rock,track,Mardilaulud (Martinmas Songs): I. Mardid ukse taga (Martinmas Beggars behind the Door),2000,7dsRmvQkGaVIWfdrE4z7gX
174,Los Silver Star,6CTqFWJlzyKHtEcVfdLMsP,rock,track,Linda Ya No Te Aguanto,2000,4o7e3JsNBwaZSjg9CX208X
175,Presser Gabor,0G3PMZ1z0G7ziXrjryetoR,rock,track,Valaki mondja meg,2000,7cFICtJsqnJnQSbY5KuYpM
176,Ken Boothe,6jg1EbpTL27toPdfzveorJ,rock,track,Jabnet,2000,1PDG9bPG8T7yKrl6xYjywG
177,麦田守望者,59za0ANTsmUiYcte26Wzvg,rock,track,Please,2000,5PdiWwLpUDbnNRbzanZTD2
178,HLH flokkurinn,2YJAktxfmSVrAOnNr24EgP,rock,track,"Nei, nei, ekki um jólin",2000,1qxEC9Ci9ZXzfj20OcgtbZ
179,Juan Hernández y Su Banda de Blues,1i7IEggecEKBWwXqsiQFqQ,rock,track,Los Legajos,2000,0Yy2EYXcJeyGXWCdlsgupd
180,John Wetton,0rk01XEfDhJhnBFp0LT1HQ,rock,track,Battle Lines - Live,2000,0s5Xp8Pspab0CwKkMKTMjx
181,Throwing Toasters,1i2iuXR6lwrF3lnReY9Ban,rock,track,Intimate Crowd,2000,7yU4ikGwUXB5z18JbVYyI6
182,Baraflokkurinn,7oYmAsQQfEzXwEoiRfcbid,rock,track,So long,2000,4pijeMxS4Xti4uARetr7fl
183,Rebecca St. James,1SaELUYn7deVoQ9kGDGUD9,rock,track,A Cradle Prayer,2000,5Y8KZhRA9PwFq2upoe1pwL
184,Insanity Wave,7pk98nyHCI6viNTPjZuond,rock,track,Tonight,2000,5itVhAXJ6Fw1NQiMbMNuA0
185,Quilapayún,76sZcEL2ZXBTqNeFJAhlup,rock,track,Seis Canciones Contingentes. La Merluza,2000,5B6r9xdmDB5COyXExyBGYr
186,Mínus,5HnjSXNynRJUJNzWFOt9BJ,rock,track,Modern Haircuts,2000,5LmQH0rQj1xRWsSVsw6cpi
