,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
66,Ngọc Huệ,2fjtWeE4rcFENjhezG68Gp,pop,track,Tình chất ngất bên anh,2000,5q2jvqYrIphvZaFcHoOLfT
67,Cheb Rayan,2vHzXwfwVDsP4iKN8SezRR,pop,track,El Babour Kalae Mel Port,2000,5b8XbK2bdgHf1IWXUya7Jy
68,Satinath Mukherjee,5ipeZU95ULNeDmiNTdyuw4,pop,track,Sarati Jiban Palanke Shuye,2000,0wTj0FifcUXPb4bEbevckD
69,Lolita Garrido,0HkLMPkvfPwF6SuwlwAhec,pop,track,La Faldibiribita (Guaracha Coreada),2000,7qHeVvAoatJOmyAYfhQ582
70,Bay City Rollers,3r9TXuXfOUxXjgYgAR0fP8,pop,track,Remember - UK Single Version,2000,2xmzditdcdGH5Y8lUSGQme
71,Ted Heath,4v8G8fM1P0Nrn9nZZW0ziT,pop,track,The Blue Room,2000,6h9uMmB2hwHetF6JtIh5Uk
72,Teresa Teng,3ienC90A5I1X3irDyQoqWZ,pop,track,輕輕一個吻,2000,6eHGWHhRnfUDBOYiYY9CBw
73,Dragan Saulic,2nOS3oyMAXFuk6BaFPJ8y3,pop,track,Pusti me da zivim,2000,1OFzGDWzeZkBoAZNzOJL9n
74,Lehakat Geisot Hashiryon,7teVp71qwVB1JFBebzdMLn,pop,track,שיר הפסיכיאטרית,2000,3LrBKDbynfmDGiv7vyMiGD
75,Yến Khoa,3bha5CwoQMcHglJ5xFRPKj,pop,track,Lẻ Loi,2000,6ubsUqux6LaRkGXo7xv6xl
76,Trang Thanh Lan,4g2WzzOex3JKLotuN0bsmf,pop,track,Đưa em vào hạ,2000,21f0VjtXdHcf6KJwJVbwzW
77,Jonah Jones,5u7FXbK7whWNTbgeicnbG9,pop,track,Poor Butterfly,2000,3KDX9xwx5atVUuIiINCvid
78,Khánh Ly,2BT5812uC3XW9TukhlOfD0,pop,track,Lá Rụng Ven Sông,2000,7djnTkCjsBMtFl1lyg5REN
79,Lefty Frizzell,05pAwLhsutiuj6gerEwGvU,pop,track,First to Have a Second Chance,2000,7uS2en3wHFyEFCQH9fTEv3
80,Mai Hương,20D0rskLHvakkfhZcgbulX,pop,track,Tình thắm,2000,0MA6IzWmQ36PWu4psyQvYj
81,Odair Jose,3kUC3a0wTkjsdkJiytULkN,pop,track,Quando Você Decidir,2000,1vsGkOnzcAKl9GsbZLOpOm
82,Malan Thomsen,3gIzsHHAFGwKCqaMcv8lB3,pop,track,Hvar ert tú,2000,6AxDStOgoWDkDmrEVNUEoB
83,Raimonds Pauls,01pSsqt7FLdq2SC6UqjER3,pop,track,Muļķīga Dziesma Par Mīlestību,2000,2wigt62NDQyq6BGZdxi5S0
84,Nass El Ghiwane,040hze5aLmq4IDXPDQfUDL,pop,track,Ya B'Ani Insane,2000,4oqayyyykELN3HmLfU5cf2
85,Hugo Liscano,2PtoCPBkCc37AWeldMTd1I,pop,track,Compadre Pancho,2000,79zQgrFTMGggUrL7y4sRC5
86,Nobodys,5dMXPZsWFs411zjl9TueAr,pop,track,Bellbottom Pants,2000,7nb5ww67cWspCCGob9UVP4
87,László Aradszky,79csv73nRzfQXwr220oKPR,pop,track,Pókháló az ablakon,2000,0wT7eoULMxTjWxtgdbfwrf
88,Thiên Trang,7zR1RF6IqZwR9CgCC3rXOl,pop,track,Em biết anh đi chẳng trở về,2000,5nz6QT1YMmpsGLZqxCWqFR
89,Jonah Jones,5u7FXbK7whWNTbgeicnbG9,pop,track,Do You Know What It Means To Miss New Orleans,2000,1q2MIapClCfqJQBFVLvYHP
90,Shaaban Abdel Rahim,02f6OKV3ImIJrm3UoW3Oue,pop,track,Had Gherna,2000,6QuMxBsCAtxp7Y5eLdo4HD
91,Giao Linh,4H5Eeyp0AbxXuJKbeuc1wx,pop,track,Giã từ cố đô,2000,3lFqP4iDUAtTtVGg31uZAa
92,Castellina-Pasi,6IcPcdjgmGuPv8RLdST873,pop,track,Castellina Fra Noi - Lento Con Swing,2000,7GA5Opggs4H4FYYF3LSgeZ
93,Dragan Saulic,2nOS3oyMAXFuk6BaFPJ8y3,pop,track,Svi Nas Dele,2000,1IK49NcjnuCBXfANnTJ0BN
94,George Melachrino,3QEtpLkMkxE6gkOjnPkWxK,pop,track,Lisbon At Twilight,2000,2bCIOH99kdRw3ZYc7YxtV1
95,Ted Heath,4v8G8fM1P0Nrn9nZZW0ziT,pop,track,The Lady Is A Tramp,2000,4ToDJvey8iHWp0V4j9QtDq
96,Guddu Rangila,1TUAuN17xq18iOslmb6yD0,pop,track,Chum Chum Bhouji,2000,58IKq7lyyplNwE9tudDCNm
97,Aziz Mian,0lyuCEP722XiHlj92fsxhU,pop,track,Meri Khoone Aarzo,2000,5U9IHuTQONx0W0psEvr5Qt
98,Hà Thanh,5iFY0u8CMmK5aDwjpCMyZL,pop,track,Lạy phật chứng tri lòng con,2000,6kwQlu5Diy02on215tH62H
99,Medhat Saleh,7z2djNV3tKrdEsotTv8KH0,pop,track,Atshan Ya Snen Hwaya,2000,21f4b0yZ9QFRMaZ4eTF9CP
