,Artist,Biography,Listeners,Playcount,Similar
489,Clube de Patifes,"The Clube de Patifes is a Brazilian band of Blues Rock from Feira de Santana. Formed in 1998 and with a record in 2001 call of the Palco ao balcão the band now prepares for to launch your new album ""Com um pouco mais de alma"". <a href=""https://www.last.fm/music/Clube+de+Patifes"">Read more on Last.fm</a>",1366,18783,"('Clara Ghimel', 'Bêbados Habilidosos', 'Flávio Guimarães', 'Celso Blues Boy', 'Baseado Em Blues')"
490,Bide Ertzean,"Basque Pop Rock band <a href=""https://www.last.fm/music/Bide+Ertzean"">Read more on Last.fm</a>",1035,13917,"('Urgabe', 'Kokein', 'Rafa Rueda', 'Ruper Ordorika', 'Keike')"
491,Darxtar,"Darxtar are a Scandinavian progressive space rock band, heavily influenced by Hawkwind. They were formed in 1989 by K. Sören Bengtsson as a one man project with the aim to revive 1970's style space / psych / acid rock.

The band currently consists of  K.Soren Bengtsson (vocals, guitar), Patric Danielsson (vocals, drums), Marcus Pehrsson (vocals, bass), Fredrik Sundqvist  (violin) and Per Hillblom (sounds). <a href=""https://www.last.fm/music/Darxtar"">Read more on Last.fm</a>",2102,13168,"('ici maintenants', 'Underground Zero', 'Quarkspace', 'Spirits Burning', ""Sh'mantra"")"
492,Barry Brown,"Barry Brown (c.1962, Jamaica - May 28, 2004) was a Jamaican reggae singer, initially coming to prominence in the 1970's with his work with Bunny Lee, but remaining popular throughout his career. He died in a recording studio.

Barry Brown was one of a number of singers to find success in the 1970's under producer Bunny Lee. Although his first release, 'Girl You're Always On My Mind', had little impact, his vocal style soon found popularity, with his first hit coming with 1979's 'Step It Up Youthman' <a href=""https://www.last.fm/music/Barry+Brown"">Read more on Last.fm</a>",88337,551552,"('Cornell Campbell', 'Leroy Smart', 'Johnny Clarke', 'I-Roy', 'Sugar Minott')"
493,Okay Temiz,"Born in 1939, in Istanbul, Okay Temiz was deeply involved in music from his early years. He got his first musical inspirations from his mother, Naciye Temiz, who had gone through classical Turkish music education. Again with the support of his mother, he started taking percussion and tympani courses at the State Conservatoire of Classical Music in Ankara. Launching his professional musical career in 1955, Temiz continued his studies at the Tophane Art Institute <a href=""https://www.last.fm/music/Okay+Temiz"">Read more on Last.fm</a>",17336,83729,"('Emin Fındıkoglu', 'Laço Tayfa', 'Mustafa Özkent Ve Orkestrasi', 'Burhan Öçal', 'Osman İşmen')"
494,OTO PESTNER,"Oto Pestner is a Slovenian singer, born January 4, 1956, known for his range of musical genres, including pop, rock, gospel, and Slovenian folk music. Pestner began his music career at an early age, releasing his first EP, Najrajši Sem Pri Očku (""I Love Being with Dad""), at just 12 years old. This marked the beginning of what would become a prolific and successful music career, both as a solo artist and as a member of various influential musical groups. <a href=""https://www.last.fm/music/OTO+PESTNER"">Read more on Last.fm</a>",1016,7533,"('Marjana Deržaj', 'Edvin Fliser', 'Braco Koren', 'BePop', 'MIRAN RUDAN')"
495,НОМ,"NOM is an acronym for the russian ""Informal Youth Organization"" used by the official soviet press in 80's. The band ""NOM"" appeared in St. Petersburg in 1987 as an absurdico-ironical answer to the great number of ""rock"" groups in post-soviet Russia.

Official site
НОМ на wiki
Cтраница о творчестве Дмитрия Тихонова, известного как Александр Ливер
---------

HOM = NOM = H.O.M. = Ном <a href=""https://www.last.fm/music/+noredirect/%D0%9D%D0%9E%D0%9C"">Read more on Last.fm</a>",20017,568537,()
496,Ghosting,"There are multiple artists with this name:

1) Ghosting is a darkwave band from Germany.

2) ghosting is a lofi electronic musician from Vancouver, British Columbia.  Bandcamp:  http://gghostingg.bandcamp.com

3) Ghosting from Portland, OR, United States, is an underground free improv / noise group formed by veterans Zach Reno, J.P. Jenkins and sometimes Janice McKeachern. Zach also runs the Onomato CD-R label and curates experimental music events in Portland. <a href=""https://www.last.fm/music/Ghosting"">Read more on Last.fm</a>",28606,312686,"('Rosetta Stone', 'Sanguis et Cinis', 'Mephisto Walz', 'Diva Destruction', 'Suspiria')"
497,2 By Bukowski,"                 2 by bukowski was a band with many musical facades. Formed in the late 90's by 4 friends, the musical journey begun as an experimentation. Sounds in the form of dark and abstract electronica were released at first, followed by cinematic and long structured epics. As the band was constantly growing, its music was also maturing with more guitars embracing rock forms with heavier riffs. 
                 2 by bukowski originates from Thessaloniki, Greece. The band formed in 1998 and disbanded in 2006. <a href=""https://www.last.fm/music/2+By+Bukowski"">Read more on Last.fm</a>",3639,46234,"('GARDENBOX', 'Interstellar Overdrive', '2L8', 'Adolf Plays The Jazz', ""Don't Look Back"")"
498,MC Mabon,"MC Mabon is Welsh musician Gruff Meredith. Previously he was a member of Tystion. 

More about him at the BBC site. For all releases and to listen to track clips visit mcmabon.com


 <a href=""https://www.last.fm/music/MC+Mabon"">Read more on Last.fm</a>",1193,18678,"('Kentucky AFC', 'Mr Huw', 'Texas Radio Band', 'Genod Droog', ""Geraint Jarman A'r Cynganeddwyr"")"
499,Bobby Rydell,"Bobby Rydell (born Robert Louis Ridarelli on 26 April 1942; died 5 April 2022) was an American singer and actor who mainly performed rock and roll and traditional pop music. In the early 1960s he was considered a teen idol. His most well-known songs include ""Wild One"" and ""Volare"" ; in 1963 he appeared in the musical film Bye Bye Birdie.  In the 1980s he joined a trio called The Golden Boys with fellow former teen idols Frankie Avalon and Fabian Forte and he continued to tour up until his death.  <a href=""https://www.last.fm/music/Bobby+Rydell"">Read more on Last.fm</a>",101033,521919,"('Johnny & The Hurricanes', 'Gary Puckett & The Union Gap', 'Jimmy Jones', 'Freddy Cannon', 'Jan & Dean')"
500,Angelica Maria,"Incorrect name of the Artist.
Correct: Angélica María 

Angélica María (born María de los Ángeles Hartman Ortíz September 27, 1944 in New Orleans, Louisiana is an American-born Mexican actress, singer and songwriter.

Singing career

After a few musicals she asked for the assistance of her mother (who was also her manager) and with Armando Manzanero, then a new songwriter, they both performed the song Eddie Eddie which would eventually become her greatest musical success. <a href=""https://www.last.fm/music/Angelica+Maria"">Read more on Last.fm</a>",19434,139698,"('Alberto Vazquez', 'Manoella Torres', 'Johnny Laboriel', 'Los Hitters', 'Los Belmonts')"
